ID;floor_ID;resource_ID;name;type;x;y;width;height;radius;color;opacity
d6000000-0000-4000-8000-000000000101;40000000-0000-4000-8000-000000000001;d5000000-0000-4000-8000-000000000101;Hannover Demo Desk 1;DESK;34;31;123;94;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000102;40000000-0000-4000-8000-000000000001;d5000000-0000-4000-8000-000000000102;Hannover Demo Desk 2;DESK;163;31;121;94;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000103;40000000-0000-4000-8000-000000000001;d5000000-0000-4000-8000-000000000103;Hannover Demo Desk 3;DESK;34;263;123;94;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000104;40000000-0000-4000-8000-000000000001;d5000000-0000-4000-8000-000000000104;Hannover Demo Desk 4;DESK;284;208;92;122;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000105;40000000-0000-4000-8000-000000000001;d5000000-0000-4000-8000-000000000105;Hannover Demo Desk 5;DESK;34;362;123;90;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000106;40000000-0000-4000-8000-000000000001;d5000000-0000-4000-8000-000000000106;Hannover Demo Desk 6;DESK;386;81;124;91;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000107;40000000-0000-4000-8000-000000000001;d5000000-0000-4000-8000-000000000107;Hannover Demo Desk 7;DESK;572;120;124;60;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000108;40000000-0000-4000-8000-000000000001;d5000000-0000-4000-8000-000000000108;Hannover Demo Desk 8;DESK;701;120;123;60;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000109;40000000-0000-4000-8000-000000000001;d5000000-0000-4000-8000-000000000109;Hannover Demo Desk 9;DESK;733;183;91;123;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000110;40000000-0000-4000-8000-000000000001;d5000000-0000-4000-8000-000000000110;Hannover Demo Desk 10;DESK;386;177;124;92;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000111;40000000-0000-4000-8000-000000000001;d5000000-0000-4000-8000-000000000111;Hannover Demo Desk 11;DESK;387;375;123;60;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000121;40000000-0000-4000-8000-000000000001;d5000000-0000-4000-8000-000000000121;Hannover Demo Meeting Room 1;ROOM;943;27;493;540;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000122;40000000-0000-4000-8000-000000000001;d5000000-0000-4000-8000-000000000122;Hannover Demo Meeting Room 2;ROOM;28;537;294;237;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000123;40000000-0000-4000-8000-000000000001;d5000000-0000-4000-8000-000000000123;Hannover Demo Meeting Room 3;ROOM;338;552;281;221;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000141;d4000000-0000-4000-8000-000000000011;d5000000-0000-4000-8000-000000000141;Hannover Parking P01;PARKING;55;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000142;d4000000-0000-4000-8000-000000000011;d5000000-0000-4000-8000-000000000142;Hannover Parking P02;PARKING;205;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000143;d4000000-0000-4000-8000-000000000011;d5000000-0000-4000-8000-000000000143;Hannover Parking P03;PARKING;355;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000144;d4000000-0000-4000-8000-000000000011;d5000000-0000-4000-8000-000000000144;Hannover Parking P04;PARKING;505;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000145;d4000000-0000-4000-8000-000000000011;d5000000-0000-4000-8000-000000000145;Hannover Parking P05;PARKING;655;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000146;d4000000-0000-4000-8000-000000000011;d5000000-0000-4000-8000-000000000146;Hannover Parking P06;PARKING;805;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000147;d4000000-0000-4000-8000-000000000011;d5000000-0000-4000-8000-000000000147;Hannover Parking P07;PARKING;55;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000148;d4000000-0000-4000-8000-000000000011;d5000000-0000-4000-8000-000000000148;Hannover Parking P08;PARKING;205;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000149;d4000000-0000-4000-8000-000000000011;d5000000-0000-4000-8000-000000000149;Hannover Parking P09;PARKING;355;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000150;d4000000-0000-4000-8000-000000000011;d5000000-0000-4000-8000-000000000150;Hannover Parking P10;PARKING;505;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000151;d4000000-0000-4000-8000-000000000011;d5000000-0000-4000-8000-000000000151;Hannover Parking P11;PARKING;655;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000152;d4000000-0000-4000-8000-000000000011;d5000000-0000-4000-8000-000000000152;Hannover Parking P12;PARKING;805;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000201;40000000-0000-4000-8000-000000000002;d5000000-0000-4000-8000-000000000201;Berlin Demo Desk 1;DESK;34;31;123;94;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000202;40000000-0000-4000-8000-000000000002;d5000000-0000-4000-8000-000000000202;Berlin Demo Desk 2;DESK;163;31;121;94;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000203;40000000-0000-4000-8000-000000000002;d5000000-0000-4000-8000-000000000203;Berlin Demo Desk 3;DESK;34;263;123;94;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000204;40000000-0000-4000-8000-000000000002;d5000000-0000-4000-8000-000000000204;Berlin Demo Desk 4;DESK;284;208;92;122;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000205;40000000-0000-4000-8000-000000000002;d5000000-0000-4000-8000-000000000205;Berlin Demo Desk 5;DESK;34;362;123;90;8;#0064d9;0.25
