ID;site_ID;dayOfWeek;opensAt;closesAt
80000000-0000-4000-8000-000000000001;20000000-0000-4000-8000-000000000001;1;08:00:00;18:00:00
80000000-0000-4000-8000-000000000002;20000000-0000-4000-8000-000000000001;2;08:00:00;18:00:00
80000000-0000-4000-8000-000000000003;20000000-0000-4000-8000-000000000001;3;08:00:00;18:00:00
80000000-0000-4000-8000-000000000004;20000000-0000-4000-8000-000000000001;4;08:00:00;18:00:00
80000000-0000-4000-8000-000000000005;20000000-0000-4000-8000-000000000001;5;08:00:00;18:00:00
80000000-0000-4000-8000-000000000006;20000000-0000-4000-8000-000000000002;1;08:00:00;18:00:00
80000000-0000-4000-8000-000000000007;20000000-0000-4000-8000-000000000002;2;08:00:00;18:00:00
80000000-0000-4000-8000-000000000008;20000000-0000-4000-8000-000000000002;3;08:00:00;18:00:00
80000000-0000-4000-8000-000000000009;20000000-0000-4000-8000-000000000002;4;08:00:00;18:00:00
80000000-0000-4000-8000-000000000010;20000000-0000-4000-8000-000000000002;5;08:00:00;18:00:00
80000000-0000-4000-8000-000000000011;20000000-0000-4000-8000-000000000003;1;08:00:00;18:00:00
80000000-0000-4000-8000-000000000012;20000000-0000-4000-8000-000000000003;2;08:00:00;18:00:00
80000000-0000-4000-8000-000000000013;20000000-0000-4000-8000-000000000003;3;08:00:00;18:00:00
80000000-0000-4000-8000-000000000014;20000000-0000-4000-8000-000000000003;4;08:00:00;18:00:00
80000000-0000-4000-8000-000000000015;20000000-0000-4000-8000-000000000003;5;08:00:00;18:00:00
