ID;floor_ID;type;code;name;capacity;roomType;workplaceType;monitorCount;active
50000000-0000-4000-8000-000000000001;40000000-0000-4000-8000-000000000001;ROOM;R101;Hannover Meeting Room;8;MEETING;;0;true
50000000-0000-4000-8000-000000000002;40000000-0000-4000-8000-000000000001;WORKPLACE;D101;Hannover Desk 1;1;;FLEX;2;true
50000000-0000-4000-8000-000000000003;40000000-0000-4000-8000-000000000002;ROOM;R101;Berlin Meeting Room;6;MEETING;;0;true
50000000-0000-4000-8000-000000000004;40000000-0000-4000-8000-000000000002;WORKPLACE;D101;Berlin Desk 1;1;;FLEX;1;true
50000000-0000-4000-8000-000000000005;40000000-0000-4000-8000-000000000003;ROOM;R101;Warsaw Meeting Room;10;MEETING;;0;true
50000000-0000-4000-8000-000000000006;40000000-0000-4000-8000-000000000003;WORKPLACE;D101;Warsaw Desk 1;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000101;40000000-0000-4000-8000-000000000001;WORKPLACE;DEMO-D1;Hannover Demo Desk 1;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000102;40000000-0000-4000-8000-000000000001;WORKPLACE;DEMO-D2;Hannover Demo Desk 2;1;;FLEX;1;true
d5000000-0000-4000-8000-000000000103;40000000-0000-4000-8000-000000000001;WORKPLACE;DEMO-D3;Hannover Demo Desk 3;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000104;40000000-0000-4000-8000-000000000001;WORKPLACE;DEMO-D4;Hannover Demo Desk 4;1;;FLEX;1;true
d5000000-0000-4000-8000-000000000105;40000000-0000-4000-8000-000000000001;WORKPLACE;DEMO-D5;Hannover Demo Desk 5;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000106;40000000-0000-4000-8000-000000000001;WORKPLACE;DEMO-D6;Hannover Demo Desk 6;1;;FLEX;1;true
d5000000-0000-4000-8000-000000000107;40000000-0000-4000-8000-000000000001;WORKPLACE;DEMO-D7;Hannover Demo Desk 7;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000108;40000000-0000-4000-8000-000000000001;WORKPLACE;DEMO-D8;Hannover Demo Desk 8;1;;FLEX;1;true
d5000000-0000-4000-8000-000000000109;40000000-0000-4000-8000-000000000001;WORKPLACE;DEMO-D9;Hannover Demo Desk 9;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000110;40000000-0000-4000-8000-000000000001;WORKPLACE;DEMO-D10;Hannover Demo Desk 10;1;;FLEX;1;true
d5000000-0000-4000-8000-000000000111;40000000-0000-4000-8000-000000000001;WORKPLACE;DEMO-D11;Hannover Demo Desk 11;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000121;40000000-0000-4000-8000-000000000001;ROOM;DEMO-R1;Hannover Demo Meeting Room 1;8;MEETING;;0;true
